Product,Issue,Company,State,Consumer disputed?,Cluster
Mortgage,"Loan servicing, payments, escrow account",PHH Mortgage,FL,No,6
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NC,No,6
Debt collection,"Loan modification,collection,foreclosure","Southwest Credit Systems, L.P.",MO,No,2
Credit card,Billing statement,"Continental Finance Company, LLC",WA,No,3
Credit reporting,Unable to get credit report/credit score,Experian,VA,No,0
Debt collection,False statements or representation,Encore Capital Group,IL,No,0
Mortgage,"Application, originator, mortgage broker",Regions Financial Corporation,FL,No,13
Student loan,Dealing with my lender or servicer,AES/PHEAA,OK,No,11
Credit card,Credit reporting,JPMorgan Chase & Co.,CA,No,7
Credit reporting,Credit reporting company's investigation,Equifax,CA,No,0
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,AZ,No,7
Credit card,Rewards,Bank of America,MO,No,17
Debt collection,"Loan modification,collection,foreclosure",Stellar Recovery Inc.,NY,Yes,5
Payday loan,Charged fees or interest I didn't expect,"LDF Holdings, LLC",MD,No,7
Mortgage,"Loan servicing, payments, escrow account","Carrington Mortgage Holdings, LLC.",FL,No,3
Bank account or service,"Account opening, closing, or management",Citibank,MO,No,3
Debt collection,Taking/threatening an illegal action,"Selip & Stylianou, LLP",NY,Yes,18
Bank account or service,"Account opening, closing, or management",Capital One,AK,No,3
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",NC,No,14
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,No,16
Mortgage,"Loan servicing, payments, escrow account",Citibank,NJ,No,3
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,TX,No,9
Bank account or service,"Making/receiving payments, sending money",U.S. Bancorp,CA,No,14
Bank account or service,Problems caused by my funds being low,Bank of America,GA,No,17
Debt collection,"Loan modification,collection,foreclosure",Barclays PLC,CA,No,17
Bank account or service,Deposits and withdrawals,"Citizens Financial Group, Inc.",MA,No,3
Bank account or service,"Account opening, closing, or management",Bank of America,CT,No,17
Credit card,Delinquent account,Capital One,TX,No,3
Credit reporting,Credit reporting company's investigation,Equifax,TX,Yes,12
Bank account or service,"Account opening, closing, or management",Bank of America,NV,No,17
Credit card,Identity theft / Fraud / Embezzlement,Capital One,NY,No,3
Bank account or service,"Account opening, closing, or management",USAA Savings,FL,No,14
Bank account or service,Deposits and withdrawals,USAA Savings,WA,No,14
Consumer Loan,Shopping for a line of credit,Wells Fargo & Company,NV,No,9
Consumer Loan,Problems when you are unable to pay,Consumer Portfolio Services,PA,No,3
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,MN,No,9
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,FL,No,9
Bank account or service,Deposits and withdrawals,Bank of America,CA,No,17
Student loan,Dealing with my lender or servicer,Wells Fargo & Company,IL,No,9
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,PA,No,9
Credit card,Customer service / Customer relations,Amex,CA,No,11
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,OH,No,9
Debt collection,Communication tactics,Encore Capital Group,IN,No,0
Mortgage,"Loan servicing, payments, escrow account",Round Point Mortgage,AR,No,13
Debt collection,Communication tactics,"SRA Associates, Inc.",CA,No,13
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,MA,Yes,15
Bank account or service,Problems caused by my funds being low,Bank of America,GA,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,MN,No,17
Credit card,Credit determination,TD Bank US Holding Company,TX,No,2
Mortgage,"Loan servicing, payments, escrow account",Regions Financial Corporation,AR,Yes,18
Mortgage,"Loan servicing, payments, escrow account",Bank of America,ME,Yes,4
Payday loan,Charged fees or interest I didn't expect,TMX Finance LLC,TX,No,2
Debt collection,Taking/threatening an illegal action,PNC Bank N.A.,VA,No,6
Bank account or service,"Making/receiving payments, sending money",Bank of America,CA,No,17
Credit card,Billing disputes,TD Bank US Holding Company,SC,No,2
Credit reporting,Credit reporting company's investigation,Persian Acceptance Corp,MA,No,6
Bank account or service,Deposits and withdrawals,"SunTrust Banks, Inc.",NC,No,2
Debt collection,"Loan modification,collection,foreclosure",Wells Fargo & Company,NC,No,9
Credit reporting,Credit reporting company's investigation,Equifax,MI,No,0
Credit reporting,Credit monitoring or identity protection,Experian,OR,No,0
Student loan,Can't repay my loan,"Navient Solutions, Inc.",TX,No,16
Credit card,Credit determination,Citibank,FL,No,3
Mortgage,"Application, originator, mortgage broker",Bank of America,CT,Yes,4
Student loan,Can't repay my loan,PNC Bank N.A.,PA,No,6
Bank account or service,Problems caused by my funds being low,BNY Mellon,NC,No,17
Credit reporting,Credit reporting company's investigation,Equifax,CA,Yes,12
